title,year,creator,tags,summary,url,thumbnail
The Last Time I Saw Paris,1954,,,"UPDATE This movie has been re-uploaded, you can find it here: The Last Time I Saw Paris NOTE: Apparently this is another movie that didn't fully upload for some reason. You may watch the film in it's entirety at www.classiccinemaonline.com…",https://archive.org/details/cco_thelasttimeisawparis,https://archive.org/services/img/cco_thelasttimeisawparis
Ring of Terror,1962,Alfeo Bocchicchio,Horror,"Med student Lewis Moffitt (George E. Mather) harbours a secret fear of the dark stemming from a traumatic childhood incident involving a corpse. Nonetheless, he pretends to be unaffected during the first autopsy witnessed by his class, and…",https://archive.org/details/RingofTerror,https://archive.org/services/img/RingofTerror
King Arthur Was a Gentleman,1942,Edward Black,Comedy | Arthur Askey,"World War II, the plot involves the diminutive Arthur (Arthur Askey) joining the army to prove himself to his girlfriend Susan (Evelyn Dall), who is in the same unit as him. Here, his idealistic notions about King Arthur prompt his…",https://archive.org/details/KingArthurWasaGentleman,https://archive.org/services/img/KingArthurWasaGentleman
Insecurity,2007,Rohan Harris,insecurity | hacker | film | independent | computer security,"Insecurity is a full-length independent feature-film released for free under a creative commons 3.0 license. When offered four thousand dollars to break into a computer network, Leon(Peter Love) and Greg (Kurtis Wakefield) aren't concerned…",https://archive.org/details/insecurity,https://archive.org/services/img/insecurity
Cyrano DeBergerac,1950,Stanley Kramer,Drama,"From: IMDb : France, 1640: Cyrano, the charismatic swordsman-poet with the absurd nose, hopelessly loves the beauteous Roxane; she, in turn, confesses to Cyrano her love for the handsome but tongue-tied Christian. The chivalrous Cyrano…",https://archive.org/details/Cyrano_DeBergerac_ipod,https://archive.org/services/img/Cyrano_DeBergerac_ipod
The Black Pirate,1926,Douglas Fairbanks,Pirates | revenge | adventure | sea,"A nobleman vows to avenge the death of his father at the hands of pirates. To this end he infiltrates the pirate band. Acting in character he is instrumental in the capture of a ship, but things are complicated when he finds that there is…",https://archive.org/details/TheBlackPirate1926DouglasFairbanksSRAndy,https://archive.org/services/img/TheBlackPirate1926DouglasFairbanksSRAndy
Why We Fight: War Comes to America,1943,U.S. Army Special Service Division,WWII | Documentary | Propoganda,"Produced by the U.S. Army Special Service Division, and directed by Frank Capra ""Why We Fight"" is a seven part propaganda/documentary series that traces the earliest beginnings of the second world war starting with Japan's invasion of…",https://archive.org/details/wwf_war_comes_to_america,https://archive.org/services/img/wwf_war_comes_to_america
Encounter With The Unknown,,,full movie | horror | mystery | witches | prank | anthology | Rod Serling | urban legends,"[1973] VHS Rip Narrator Rod Serling...Three story's ""based on actual events"" actually they are urban legends. First, three college students play a prank on a geeky classmate mother gets revenge Next, a ghoulish sound emanates from a…",https://archive.org/details/EncounterWithTheUnknown,https://archive.org/services/img/EncounterWithTheUnknown
Something to Sing About,1937,"Zion Myers, Victor Schertzinger",Comedy | Musical | James Cagney,"A New York bandleader journeys to Hollywood when he is offered a contract with a studio, but he is determined to do things his way and not theirs.",https://archive.org/details/SomethingtoSingAbout,https://archive.org/services/img/SomethingtoSingAbout
Sympathy For Mr. Vengeance ( 2002),2002,Park Chan-wook,Sympathy for Mr. Vengeance | Korean Film | Park Chan-wook | Sang Kang-ho,"Sympathy for Mr. Vengeance is a 2002 South Korean thriller film directed and co-written by Park Chan-wook . The film stars Shin Ha-kyun as Ryu, a young, deaf-mute factory worker trying to earn enough money for his sister's kidney…",https://archive.org/details/sympathy-for-mr.-vengeance-2002,https://archive.org/services/img/sympathy-for-mr.-vengeance-2002
Sundown,1941,"Jack Moss, Walter Wanger",War | Drama | Gene Tierney,Englishmen fighting Nazis in Africa discover an exotic mystery woman living among the natives and enlist her aid in overcoming the Germans.,https://archive.org/details/Sundown_,https://archive.org/services/img/Sundown_
The Best Years of Our Lives,1946,The Samuel Goldwyn Company,Drama | Romance | War,"Title: The Best Years of Our Lives Summary: Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed. Directed by: William Wyler Actors: Myrna Loy, Dana Andrews,…",https://archive.org/details/tbyool435345435110,https://archive.org/services/img/tbyool435345435110
Sands of Sacrifice,1921,Neal Hart,Silent | Crime | Romance,"AKA Tangled Trails Corporal Jack Borden (Neal Hart), of the Northwest Mounted Police, trails the man who killed his partner to New York City. The killer is an unscrupulous promoter who is selling worthless stock in a gold mine. Borden,…",https://archive.org/details/SandsofSacrifice,https://archive.org/services/img/SandsofSacrifice
The Zero Hour,1939,,Otto Kruger | Frieda Inescort | romance,Frieda Inescort and Otto Kruger play two stars of the theater in this tear-jerker.,https://archive.org/details/Zero_Hour_1939,https://archive.org/services/img/Zero_Hour_1939
"Mr. Wong, Detective",1938,Monogram Pictures,Adventure | Crime | Drama | Mystery | Thriller,"Title: Mr. Wong, Detective Summary: When a chemical manufacturer is killed after asking detective James Wong to help him, Wong investigates this and two subsequent murders. He uncovers a international spy ring hoping to steal... Directed…",https://archive.org/details/Mr.WongDetective720p1938,https://archive.org/services/img/Mr.WongDetective720p1938
Airborne,1962,James Landis,,A country boy trains to be a paratrooper at Fort Bragg.,https://archive.org/details/airborne_ipod_version,https://archive.org/services/img/airborne_ipod_version
Three Guys Named Mike (1951),,,Jane Wyman | Van Johnson | Howard Keel | Barry Sullivan | Phyllis Kirk | Anne Sargent | Jeff Donnell | Herbert Heyes,"A stewardess becomes romantically involved with an airline pilot, a college professor, and a successful businessman, all of whom are named Mike. When the three find out about each other, she has to decide which one she loves the most.…",https://archive.org/details/ThreeGuysNamedMike1951,https://archive.org/services/img/ThreeGuysNamedMike1951
Shocker Internet Drive In - Week 2,,,drive in | drive-in | horror | science fiction | sci fi | bad movie | cartoon,"Welcome back to ""Shocker Internet Drive In"", reliving the great old days of warm summer nights, popcorn, bad movies and backseat love. Tonight we present ""Invasion of the Bee Girls"" (parental discreation is advised) along with the usual…",https://archive.org/details/ShockerInternetDriveIn-Week2,https://archive.org/services/img/ShockerInternetDriveIn-Week2
"""The Beloved Rogue"" (1927) starring John Barrymore and Marceline Day",1927,,John Barrymore | Marceline Day | Conrad Veidt | Alan Crosland | silent film | silent movie stars | free classic film | old movies,This gem is presented by Silent Hall of Fame. Please visit https://silent-hall-of-fame.org/ to support our non-profit mission and the legacy of silent movie stars by making a tax deductible contribution. FEEL FREE TO FOLLOW US ON TWITTER…,https://archive.org/details/TheBelovedRogue_201312,https://archive.org/services/img/TheBelovedRogue_201312
Atomic Rulers Of The World,,,sci-fi | starman | feature films,It's Starman to the rescue again in this Japanese movie,https://archive.org/details/AtomicRulersOfTheWorld,https://archive.org/services/img/AtomicRulersOfTheWorld
"Home, Sweet Home",1914,"H.E. Aitken, D.W. Griffith",Silent | Biography | Drama | D.W. Griffith,"John Howard Payne (Henry B. Walthall) leaves home and begins a career in the theater. Despite encouragement from his mother and his sweetheart (Lillian Gish), Payne begins to lead a life of dissolute habits, and this soon leads to ruin and…",https://archive.org/details/Home.Sweet.Home,https://archive.org/services/img/Home.Sweet.Home
God's Gun,,Gianfranco Parolini,pdmovies,"Priest turned vigilante Father John (Van Cleef) hunts down a gang of criminals, led by Sam Clayton (Palance), who killed a man in a local bar. On the gang's return to the town, they kill the priest, leaving a young parishioner Johnny…",https://archive.org/details/godsgun1976,https://archive.org/services/img/godsgun1976
Lady Gangster,1942,Howard Jackson and William Lava,Gangster | Mobster,"From IMDb : An actress gets mixed up with a criminal gang and winds up taking the rap for a $40,000 robbery. Before she's sent to prison, she steals the money from her cohorts and hides it, intending to use it as a bargaining chip to win…",https://archive.org/details/Lady.Gangster,https://archive.org/services/img/Lady.Gangster
Atom Age Vampire (HQ),2015,NoseSilo,Atom Age Vampire | Mario Fava | Anto Giulio Majano | Alberto Lupo | Susanne Loret | Sergio Fantoni | Franca Parisi | Andrea Scotti,"1960 directed by Anton Giulio Majano starring Alberto Lupo, Susanne Loret, Sergio Fantoni, Franca Parisi, Roberto Bertea, Andrea Scotti and Ivo Garanni. A scientist with a dark secret has developed a process for restoring scarred flesh.…",https://archive.org/details/AtomAgeVampireSmaller,https://archive.org/services/img/AtomAgeVampireSmaller
Trapeze Stripper,,KingWaylon - King of Vintage,Stripper - Strippers - Stag - Burlesque,Made in 1901 this is one of the earliest and strangest strip acts ever. A real gem for collecters of this sort of material. Quite a change from dancing strippers.,https://archive.org/details/TrapezeStripper,https://archive.org/services/img/TrapezeStripper
Teenage Thunder,1957,Jacques R. Marquette,Drama,"A teenage gas station attendant (Chuck Courtney) is obsessed with hot rods and racing. His Dad (Tyler McVey) objects to hot rod racing and thinks his son is a ""crazy teenager!""",https://archive.org/details/TeenageThunder,https://archive.org/services/img/TeenageThunder
THE GIANT OF METROPOLIS (1961),,,Gordon Mitchell | Sword and sandales | futuristic city | gladiator movie 1960s | italian epic,A very imaginative Scifi sword and sandales movie by Umberto Scarpelli starring Gordon Mitchel in maybe his best film shot in Cine Citta. more info on http://www.imdb.com/title/tt0054924/,https://archive.org/details/TheGiantOfMetropolis1961,https://archive.org/services/img/TheGiantOfMetropolis1961
Devil Riders,1943,Sigmund Neufeld,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/devil_riders,https://archive.org/services/img/devil_riders
The Beatniks,1960,"Edward Heite, Ron Miller",crime | drama,Eddy Crane (Tony Travis) is a newly discovered singer who must choose between his gang or becoming a professional singer.,https://archive.org/details/the_beatniks,https://archive.org/services/img/the_beatniks
Gangster Story,1960,Jonathan Daniels,,You can find more information regarding this film on its IMDb page .,https://archive.org/details/gangster_story,https://archive.org/services/img/gangster_story
2021-8-27-tmp0x-541986524940,,tmp0x,f65e16b3-420d-41ec-9f47-89dde58fd351,f65e16b3-420d-41ec-9f47-89dde58fd351,https://archive.org/details/2021-8-27-tmp0x-541986524940,https://archive.org/services/img/2021-8-27-tmp0x-541986524940
Little Tough Guy,1938,Ken Goldsmith,Billy Halop | Huntz Hall | Dead End Kids,"After his father is unjustly executed, Jimmy Boylan (Billy Halop) teams up with the Dead End Kids. He and the gang soon find themselves up against the manipulative D.A.'s son who is determined to transform them from a gang of territorial…",https://archive.org/details/LittleToughGuys,https://archive.org/services/img/LittleToughGuys
Daisies,1966,Věra Chytilová,Věra Chytilová | feminist cinema | Czech New Wave | comedy | English-subtitles,"Maybe the New Wave’s most anarchic entry, Věra Chytilová’s absurdist farce follows the misadventures of two brash young women. Believing the world to be “spoiled,” they embark on a series of pranks in which nothing—food, clothes, men,…",https://archive.org/details/daisies_202103,https://archive.org/services/img/daisies_202103
